Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
Console.js:61 Route 1 rendering: {routeId: 1, pointsLength: 17, selectedRoutes: Array(5), isHighlighted: true, color: '#0066CC'}
